id,question,is_multiple,option_a,option_b,option_c,option_d,correct
1,"What tasks and rights do the Trading Surveillance Office have?",TRUE,"Impose sanctions on breaking the rules","Systematically and completely collect all data regarding futures and options trading","Demand information from trading participants insofar as it is necessary to fulfill its duties","Right to access the business premises of the trading participants during regular working hours","B;C;D"
2,"What sanctions can the Disciplinary Committee impose in case of a rule violation?",TRUE,"Imposing a fine against an exchange trader for breaching the crossing rules","Excluding an exchange participant from trading for up to 30 trading days","Withdrawing an exchange trader admission","Reprimanding an exchange trader","A;B;D"
3,"Which issues are sanctioned by the Disciplinary Committee?",TRUE,"Order entries which can potentially affect an artificial price level","Trades based on insider information","Knowingly entry of opposite orders in continuous trading by one exchange trader without trade request","Trades that lead to erroneous signals for bid and ask","A;C;D"
4,"Which of the following is not a task of the Trading Surveillance Office?",FALSE,"Sanctioning of exchange traders for breaking exchange related rules","Collecting all data regarding futures and options trading","Monitoring the settlement of exchange transactions","Informing the Exchange Supervisory Authority if an exchange participant has breached exchange related rules","A"
5,"What is the Trading Surveillance Office not allowed to do in connection with the performance of its duties?",FALSE,"Conduct inspections of business premises of exchange participants","Demand information","Suspend trading if insider trading is suspected","Inform the Board of Management if it is suspected that an exchange participant has breached exchange related rules","C"
6,"Which statement in connection with the Trading Surveillance Office or the Disciplinary Committee is correct?",FALSE,"The Trading Surveillance Office can exclude exchange traders from trading up to 30 trading days.","The Disciplinary Committee has the right to withdraw an exchange trader’s admission to trading.","The Trading Surveillance Office decides on the suspension of trading.","None of the above.","D"
7,"It is forbidden to enter orders into the system without an intention to trade.",FALSE,"True","False","","","A"
8,"Orders which are not in line with common market practice are unproblematic in terms of the market integrity clause, the clause is applied to trades only.",FALSE,"True","False","","","B"
9,"In order to ensure orderly futures and options trading, trading surveillance office verifies electronic trading strategies and trading algorithms of an exchange participant prior to the application.",FALSE,"True","False","","","B"
10,"When can the management board of the exchange instruct cash settlement instead of physical delivery upon the exercise of stock options?",TRUE,"To maintain orderly market conditions","Due to a high number of options in the money","In case of a delisting of the underlying","Due to a temporarily trading suspension of the underlying","A;C"
11,"Which measures can the management board of the exchange take in case of an underlying is delisted?",TRUE,"Replacement of the underlying for open positions","Cash settlement instead of physical delivery","Discontinuation of trading and early termination of affected derivatives transactions","Automatically close open positions and reopen them in an equivalent underlying","B;C"
